"Age (years b2k)","d18O GISP2 (‰)","Age BP (SEAD)"
23550,-40.96,23500
23550,-41.98,23500
23600,-41.98,23550
23600,-41.49,23550
23650,-41.49,23600
23650,-42.39,23600
23700,-42.39,23650
23700,-41.95,23650
23750,-41.95,23700
23750,-41.32,23700
23800,-41.32,23750
23800,-42.33,23750
23850,-42.33,23800
23850,-42.1,23800
23900,-42.1,23850
23900,-42.18,23850
23950,-42.18,23900
23950,-42.13,23900
24000,-42.13,23950
24000,-42.67,23950
24050,-42.67,24000
24050,-42.02,24000
24100,-42.02,24050
24100,-41.77,24050
24150,-41.77,24100
24150,-42.14,24100
24200,-42.14,24150
24200,-41.33,24150
24250,-41.33,24200
24250,-42.15,24200
24300,-42.15,24250
24300,-41.29,24250
24350,-41.29,24300
24350,-40.54,24300
24400,-40.54,24350
24400,-41.22,24350
24450,-41.22,24400
24450,-39.83,24400
24500,-39.83,24450
24500,-40.47,24450
24550,-40.47,24500
24550,-41.64,24500
24600,-41.64,24550
24600,-41.75,24550
24650,-41.75,24600
24650,-41.58,24600
24700,-41.58,24650
24700,-42.26,24650
24750,-42.26,24700
24750,-41.34,24700
24800,-41.34,24750
24800,-41.84,24750
24850,-41.84,24800
24850,-42.91,24800
24900,-42.91,24850
24900,-40.54,24850
24950,-40.54,24900
24950,-41.98,24900
25000,-41.98,24950
25000,-39.76,24950
25050,-39.76,25000
25050,-40.42,25000
25100,-40.42,25050
25100,-40.47,25050
25150,-40.47,25100
25150,-41.1,25100
25200,-41.1,25150
25200,-41.47,25150
25250,-41.47,25200
25250,-41.77,25200
25300,-41.77,25250
25300,-40.77,25250
25350,-40.77,25300
25350,-41.54,25300
25400,-41.54,25350
25400,-41.42,25350
25450,-41.42,25400
25450,-41.28,25400
25500,-41.28,25450
25500,-41.81,25450
25550,-41.81,25500
25550,-42.39,25500
25600,-42.39,25550
25600,-42.64,25550
25650,-42.64,25600
25650,-43.05,25600
25700,-43.05,25650
25700,-43.11,25650
25750,-43.11,25700
25750,-41.64,25700
25800,-41.64,25750
25800,-41.66,25750
25850,-41.66,25800
25850,-40.79,25800
25900,-40.79,25850
25900,-41.41,25850
25950,-41.41,25900
25950,-40.77,25900
26000,-40.77,25950
26000,-42.07,25950
26050,-42.07,26000
26050,-41.19,26000
26100,-41.19,26050
26100,-41.82,26050
26150,-41.82,26100
26150,-40.53,26100
26200,-40.53,26150
26200,-39.39,26150
26250,-39.39,26200
26250,-41.13,26200
26300,-41.13,26250
26300,-40.73,26250
26350,-40.73,26300
26350,-40.53,26300
26400,-40.53,26350
26400,-41.41,26350
26450,-41.41,26400
26450,-40.82,26400
26500,-40.82,26450
26500,-41.18,26450
26550,-41.18,26500
26550,-40.62,26500
26600,-40.62,26550
26600,-40.63,26550
26650,-40.63,26600
26650,-40.88,26600
26700,-40.88,26650
26700,-41.89,26650
26750,-41.89,26700
26750,-40.95,26700
26800,-40.95,26750
26800,-40.88,26750
