sample_identifier_short,physical_sample_id,sample_identifier,latitude_dd,longitude_dd,sampling_context,Age_BP_From,Age_BP_To,region
COUN000244|1120,1120,Oxford: BT Tunnel|COUN000244|S3|1120,51.75,-1.25,Stratigraphic sequence,1390,1060,Nor
COUN000244|1124,1124,Oxford: BT Tunnel|COUN000244|S13|1124,51.75,-1.25,Stratigraphic sequence,1373,1331,Nor
COUN000244|1125,1125,Oxford: BT Tunnel|COUN000244|S7|1125,51.75,-1.25,Stratigraphic sequence,550,330,Nor
COUN000256|1149,1149,Porth Meare Cove|COUN000256|A|1149,50.17972,-5.605278,Stratigraphic sequence,3475,2875,Nor
COUN000256|1150,1150,Porth Meare Cove|COUN000256|B|1150,50.17972,-5.605278,Stratigraphic sequence,3475,2875,Nor
COUN000261|1157,1157,Ramsey Heights|COUN000261|S1|1157,52.454723,-0.14583333,Stratigraphic sequence,4400,3727,Nor
COUN000262|1158,1158,Ranstad|COUN000262|S9025|1158,57.316666,13.733334,Stratigraphic sequence,11745,10788,Nor
COUN000263|1164,1164,Redkirk Point|COUN000263|S0|1164,54.976387,-3.093611,Stratigraphic sequence,15216,13653,Nor
COUN000263|1165,1165,Redkirk Point|COUN000263|S2|1165,54.976387,-3.093611,Stratigraphic sequence,13371,12734,Nor
COUN000263|1166,1166,Redkirk Point|COUN000263|F4|1166,54.976387,-3.093611,Stratigraphic sequence,13145,12431,Nor
COUN000264|1167,1167,Red Moss|COUN000264|S1|1167,53.59,-2.5377777,Stratigraphic sequence,14703,13727,Nor
COUN000264|1172,1172,Red Moss|COUN000264|S6|1172,53.59,-2.5377777,Stratigraphic sequence,13071,12541,Nor
COUN000270|1205,1205,Ripon: Racecourse|COUN000270|S1|1205,54.12472,-1.4919444,Stratigraphic sequence,11241,10795,Nor
COUN000272|1209,1209,Roberthill|COUN000272|S1|1209,55.10361,-3.396389,Stratigraphic sequence,16233,14576,Nor
COUN000273|1211,1211,Rodbaston Hall|COUN000273|silt/gyttja|1211,52.709167,-2.1183333,Stratigraphic sequence,12573,11405,Nor
COUN000273|1212,1212,Rodbaston Hall|COUN000273|gyttja|1212,52.709167,-2.1183333,Stratigraphic sequence,12802,12161,Nor
