sample,trait,w,id,latitude_dd,longitude_dd,type,base,top,age,age_range,ageBin,layer
COUN001059|4848,He,0.058823529,4848,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4848,IDe,0.058823529,4848,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4848,IRu,0.117647059,4848,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4848,Me,0.058823529,4848,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4848,Mo,0.058823529,4848,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4848,Pa,0.176470588,4848,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4848,Sa,0.058823529,4848,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4848,We,0.176470588,4848,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4848,Wo,0.411764706,4848,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4849,Aq,0.230769231,4849,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4849,Ca,0.076923077,4849,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4849,Di,0.153846154,4849,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4849,Du,0.230769231,4849,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4849,Ge,0.153846154,4849,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4849,He,0.076923077,4849,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4849,IRu,0.153846154,4849,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4849,Me,0.230769231,4849,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4849,Pa,0.230769231,4849,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4849,We,0.384615385,4849,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4849,Wo,0.153846154,4849,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4850,Aq,0.333333333,4850,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4850,Du,0.166666667,4850,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4850,IDu,0.5,4850,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4850,IRu,0.166666667,4850,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4850,ISt,0.166666667,4850,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4850,Pa,0.5,4850,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4850,We,0.166666667,4850,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4851,Aq,0.2,4851,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4851,Du,0.4,4851,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4851,IDu,0.2,4851,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4851,IRu,0.2,4851,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4851,Pa,0.8,4851,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4852,Aq,1,4852,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4852,IRu,1,4852,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001279|5973,Op,0.5,5973,56.06691,13.733375,sequences,2000,0,1000,2000,1000,2
COUN001279|5973,Wo,1,5973,56.06691,13.733375,sequences,2000,0,1000,2000,1000,2
COUN001279|5974,Aq,0.333333333,5974,56.06691,13.733375,sequences,2000,0,1000,2000,1000,2
COUN001279|5974,IDe,0.166666667,5974,56.06691,13.733375,sequences,2000,0,1000,2000,1000,2
COUN001279|5974,ISt,0.166666667,5974,56.06691,13.733375,sequences,2000,0,1000,2000,1000,2
COUN001279|5974,Me,0.333333333,5974,56.06691,13.733375,sequences,2000,0,1000,2000,1000,2
COUN001279|5974,Op,0.166666667,5974,56.06691,13.733375,sequences,2000,0,1000,2000,1000,2
COUN001279|5974,We,0.166666667,5974,56.06691,13.733375,sequences,2000,0,1000,2000,1000,2
COUN001279|5974,Wo,0.5,5974,56.06691,13.733375,sequences,2000,0,1000,2000,1000,2
COUN001279|5975,Aq,1,5975,56.06691,13.733375,sequences,2000,0,1000,2000,1000,2
COUN001279|5975,ISt,1,5975,56.06691,13.733375,sequences,2000,0,1000,2000,1000,2
COUN001279|5976,Aq,0.666666667,5976,56.06691,13.733375,sequences,2000,0,1000,2000,1000,2
COUN001279|5976,ISt,0.333333333,5976,56.06691,13.733375,sequences,2000,0,1000,2000,1000,2
COUN001279|5976,We,0.333333333,5976,56.06691,13.733375,sequences,2000,0,1000,2000,1000,2
COUN001279|5977,Aq,0.5,5977,56.06691,13.733375,sequences,2000,0,1000,2000,1000,2
COUN001279|5977,ISt,0.5,5977,56.06691,13.733375,sequences,2000,0,1000,2000,1000,2
COUN001279|5977,We,0.5,5977,56.06691,13.733375,sequences,2000,0,1000,2000,1000,2
COUN001279|5979,Aq,1,5979,56.06691,13.733375,sequences,2000,0,1000,2000,1000,2
COUN001279|5979,ISt,1,5979,56.06691,13.733375,sequences,2000,0,1000,2000,1000,2
COUN001279|5980,Aq,0.75,5980,56.06691,13.733375,sequences,2000,0,1000,2000,1000,2
COUN001279|5980,ISt,0.5,5980,56.06691,13.733375,sequences,2000,0,1000,2000,1000,2
COUN001279|5980,We,0.25,5980,56.06691,13.733375,sequences,2000,0,1000,2000,1000,2
COUN001410|6760,Aq,0.4,6760,54.1167,-1.492069,sequences,547,506,526.5,41,1000,2
COUN001410|6760,Du,0.2,6760,54.1167,-1.492069,sequences,547,506,526.5,41,1000,2
COUN001410|6760,He,0.2,6760,54.1167,-1.492069,sequences,547,506,526.5,41,1000,2
COUN001410|6760,IRu,0.4,6760,54.1167,-1.492069,sequences,547,506,526.5,41,1000,2
COUN001410|6760,Me,0.2,6760,54.1167,-1.492069,sequences,547,506,526.5,41,1000,2
COUN001410|6760,Pa,0.2,6760,54.1167,-1.492069,sequences,547,506,526.5,41,1000,2
COUN001410|6760,We,0.4,6760,54.1167,-1.492069,sequences,547,506,526.5,41,1000,2
COUN001410|6760,Wo,0.2,6760,54.1167,-1.492069,sequences,547,506,526.5,41,1000,2
COUN001410|6777,Aq,0.076923077,6777,54.1167,-1.492069,sequences,726,666,696,60,1000,2
COUN001410|6777,Di,0.153846154,6777,54.1167,-1.492069,sequences,726,666,696,60,1000,2
COUN001410|6777,Dr,0.025641026,6777,54.1167,-1.492069,sequences,726,666,696,60,1000,2
COUN001410|6777,Du,0.205128205,6777,54.1167,-1.492069,sequences,726,666,696,60,1000,2
COUN001410|6777,He,0.076923077,6777,54.1167,-1.492069,sequences,726,666,696,60,1000,2
COUN001410|6777,IDu,0.025641026,6777,54.1167,-1.492069,sequences,726,666,696,60,1000,2
COUN001410|6777,ISt,0.051282051,6777,54.1167,-1.492069,sequences,726,666,696,60,1000,2
COUN001410|6777,Me,0.153846154,6777,54.1167,-1.492069,sequences,726,666,696,60,1000,2
COUN001410|6777,Pa,0.205128205,6777,54.1167,-1.492069,sequences,726,666,696,60,1000,2
COUN001410|6777,Sa,0.102564103,6777,54.1167,-1.492069,sequences,726,666,696,60,1000,2
