,experiment,layer_id,numModules,Perplexity,jaccard
718,23,14,2,1.796701742,0.665289256
719,23,15,1,1,1
720,23,16,2,1.506993066,0.806122449
721,23,17,1,1,1
722,23,18,1,1,1
723,23,19,1,1,1
724,23,20,1,1,1
725,23,21,2,1.526090273,0.7975
726,23,22,1,1,1
727,23,23,1,1,1
728,23,24,1,1,1
729,23,25,1,1,1
730,23,26,1,1,1
731,23,27,1,1,1
732,23,28,1,1,1
733,23,29,2,1.302195976,0.894375857
734,23,30,1,1,1
735,23,31,1,1,1
736,23,32,1,1,1
737,24,1,1,1,1
738,24,2,2,1.28262695,0.902376033
739,24,3,1,1,1
740,24,4,1,1,1
741,24,5,1,1,1
742,24,6,1,1,1
743,24,7,1,1,1
744,24,8,1,1,1
745,24,9,1,1,1
746,24,10,1,1,1
747,24,11,1,1,1
748,24,12,1,1,1
749,24,13,1,1,1
750,24,14,2,1.796701742,0.665289256
751,24,15,1,1,1
752,24,16,2,1.506993066,0.806122449
753,24,17,2,1.627284557,0.750566893
754,24,18,1,1,1
755,24,19,2,1.521175467,0.799725652
756,24,20,1,1,1
757,24,21,1,1,1
758,24,22,1,1,1
759,24,23,1,1,1
760,24,24,1,1,1
761,24,25,1,1,1
762,24,26,1,1,1
763,24,27,1,1,1
764,24,28,1,1,1
765,24,29,2,1.302195976,0.894375857
766,24,30,1,1,1
767,24,31,2,2,0.5
768,24,32,1,1,1
769,25,1,1,1,1
770,25,2,2,1.28262695,0.902376033
771,25,3,1,1,1
772,25,4,1,1,1
773,25,5,1,1,1
774,25,6,1,1,1
775,25,7,1,1,1
776,25,8,2,1.432534349,0.839102217
777,25,9,2,1.768350463,0.680408163
778,25,10,1,1,1
779,25,11,1,1,1
780,25,12,1,1,1
781,25,13,1,1,1
782,25,14,1,1,1
783,25,15,1,1,1
784,25,16,1,1,1
785,25,17,2,1.627284557,0.750566893
786,25,18,1,1,1
787,25,19,2,1.614726551,0.756515775
788,25,20,1,1,1
789,25,21,1,1,1
790,25,22,1,1,1
791,25,23,1,1,1
792,25,24,1,1,1
793,25,25,1,1,1
794,25,26,1,1,1
795,25,27,1,1,1
796,25,28,1,1,1
797,25,29,1,1,1
798,25,30,1,1,1
799,25,31,1,1,1
800,25,32,1,1,1
801,26,1,1,1,1
802,26,2,2,1.28262695,0.902376033
803,26,3,1,1,1
804,26,4,1,1,1
805,26,5,1,1,1
806,26,6,1,1,1
807,26,7,1,1,1
808,26,8,1,1,1
809,26,9,1,1,1
810,26,10,1,1,1
811,26,11,1,1,1
812,26,12,1,1,1
813,26,13,1,1,1
814,26,14,2,1.796701742,0.665289256
815,26,15,1,1,1
816,26,16,1,1,1
817,26,17,1,1,1
818,26,18,2,1.818968512,0.653061224
819,26,19,1,1,1
820,26,20,2,1.343716378,0.877126654
821,26,21,2,1.526090273,0.7975
822,26,22,1,1,1
823,26,23,1,1,1
824,26,24,1,1,1
825,26,25,1,1,1
826,26,26,1,1,1
827,26,27,1,1,1
828,26,28,1,1,1
829,26,29,1,1,1
830,26,30,2,1.997732855,0.512471655
831,26,31,1,1,1
832,26,32,1,1,1
833,27,1,1,1,1
834,27,2,2,1.28262695,0.902376033
835,27,3,1,1,1
836,27,4,1,1,1
837,27,5,1,1,1
838,27,6,1,1,1
839,27,7,1,1,1
840,27,8,1,1,1
841,27,9,3,2.797062133,0.448571429
842,27,10,1,1,1
843,27,11,1,1,1
844,27,12,1,1,1
845,27,13,1,1,1
846,27,14,2,1.796701742,0.665289256
847,27,15,1,1,1
848,27,16,2,1.506993066,0.806122449
849,27,17,1,1,1
850,27,18,1,1,1
851,27,19,1,1,1
852,27,20,1,1,1
853,27,21,1,1,1
854,27,22,1,1,1
855,27,23,1,1,1
856,27,24,1,1,1
857,27,25,1,1,1
858,27,26,1,1,1
859,27,27,1,1,1
860,27,28,1,1,1
861,27,29,1,1,1
862,27,30,1,1,1
863,27,31,1,1,1
864,27,32,1,1,1
865,28,1,1,1,1
866,28,2,5,3.186578766,0.518595041
867,28,3,1,1,1
868,28,4,1,1,1
869,28,5,1,1,1
870,28,6,1,1,1
871,28,7,1,1,1
872,28,8,1,1,1
873,28,9,1,1,1
874,28,10,1,1,1
875,28,11,1,1,1
876,28,12,1,1,1
877,28,13,1,1,1
878,28,14,2,1.796701742,0.665289256
879,28,15,1,1,1
880,28,16,3,2.032192496,0.685941043
881,28,17,1,1,1
882,28,18,1,1,1
883,28,19,1,1,1
884,28,20,1,1,1
885,28,21,1,1,1
886,28,22,1,1,1
887,28,23,1,1,1
888,28,24,1,1,1
889,28,25,1,1,1
890,28,26,1,1,1
891,28,27,1,1,1
892,28,28,1,1,1
893,28,29,1,1,1
894,28,30,1,1,1
895,28,31,1,1,1
896,28,32,1,1,1
897,29,1,1,1,1
898,29,2,2,1.28262695,0.902376033
899,29,3,1,1,1
900,29,4,1,1,1
901,29,5,1,1,1
902,29,6,1,1,1
903,29,7,1,1,1
904,29,8,1,1,1
905,29,9,3,2.797062133,0.448571429
906,29,10,1,1,1
907,29,11,1,1,1
908,29,12,1,1,1
909,29,13,1,1,1
910,29,14,2,1.796701742,0.665289256
911,29,15,1,1,1
912,29,16,2,1.506993066,0.806122449
913,29,17,1,1,1
914,29,18,1,1,1
915,29,19,2,1.521175467,0.799725652
916,29,20,1,1,1
917,29,21,1,1,1
918,29,22,1,1,1
919,29,23,1,1,1
920,29,24,1,1,1
921,29,25,1,1,1
922,29,26,1,1,1
923,29,27,1,1,1
924,29,28,1,1,1
925,29,29,1,1,1
926,29,30,1,1,1
927,29,31,1,1,1
928,29,32,1,1,1
929,30,1,1,1,1
930,30,2,2,1.28262695,0.902376033
931,30,3,1,1,1
932,30,4,1,1,1
933,30,5,1,1,1
934,30,6,1,1,1
935,30,7,1,1,1
936,30,8,1,1,1
937,30,9,4,3.944176841,0.285714286
938,30,10,1,1,1
939,30,11,1,1,1
940,30,12,1,1,1
941,30,13,1,1,1
942,30,14,2,1.796701742,0.665289256
943,30,15,1,1,1
944,30,16,2,1.506993066,0.806122449
945,30,17,1,1,1
946,30,18,1,1,1
947,30,19,1,1,1
948,30,20,1,1,1
949,30,21,3,2.426535393,0.5675
950,30,22,1,1,1
951,30,23,1,1,1
952,30,24,1,1,1
953,30,25,1,1,1
954,30,26,1,1,1
955,30,27,1,1,1
956,30,28,1,1,1
957,30,29,2,1.987666975,0.530864198
958,30,30,1,1,1
959,30,31,1,1,1
960,30,32,1,1,1
961,31,1,1,1,1
962,31,2,2,1.28262695,0.902376033
963,31,3,1,1,1
964,31,4,1,1,1
965,31,5,1,1,1
966,31,6,1,1,1
967,31,7,1,1,1
968,31,8,1,1,1
969,31,9,1,1,1
970,31,10,1,1,1
971,31,11,1,1,1
972,31,12,1,1,1
973,31,13,1,1,1
974,31,14,2,1.796701742,0.665289256
975,31,15,1,1,1
976,31,16,2,1.506993066,0.806122449
977,31,17,1,1,1
978,31,18,1,1,1
979,31,19,1,1,1
980,31,20,1,1,1
981,31,21,2,1.649384888,0.74
982,31,22,1,1,1
983,31,23,1,1,1
984,31,24,1,1,1
985,31,25,1,1,1
986,31,26,1,1,1
987,31,27,1,1,1
988,31,28,1,1,1
989,31,29,1,1,1
990,31,30,1,1,1
991,31,31,1,1,1
992,31,32,1,1,1
993,32,1,1,1,1
994,32,2,2,1.28262695,0.902376033
995,32,3,1,1,1
996,32,4,1,1,1
997,32,5,1,1,1
998,32,6,1,1,1
999,32,7,1,1,1
1000,32,8,1,1,1
1001,32,9,1,1,1
1002,32,10,1,1,1
1003,32,11,1,1,1
